Time Series,AH,BJ,CQ,FJ,GS,GD,GX,GZ,HI,HE,HL,HA,HB,HN,JS,JX,JL,LN,NM,NX,QH,SN,SD,SH,SX,SC,TJ,XJ,XZ,YN,ZJ
3936,26260.95479,11056.44248,11792.87132,28108.36119,15257.28709,85239.2484,20584.31453,14125.96007,4104.554036,39458.91858,9440.558889,41311.87148,24177.45488,18667.80429,71238.58849,15383.52622,7075.20817,24619.78475,37145.32782,11985.42341,8055.543483,18205.91598,58439.78005,17683.77663,24457.69244,28307.93793,9079.151306,31848.78016,737.298976,17997.60528,53149.20346
3937,25420.62589,9297.798395,12151.8624,24838.23201,14898.90391,75487.65161,17409.30285,12174.17566,4575.895973,35555.71036,8822.258927,40363.57341,23393.10976,19461.65295,68005.91947,13901.23407,6525.600199,23688.22381,36194.0708,11686.4196,8027.602331,17856.56589,61759.93497,16159.31628,23271.98613,24461.09817,8225.923807,30490.90798,634.8023944,15919.74543,49011.98364
3938,24523.24263,9063.378487,11232.76716,24583.56739,14232.06634,71556.22776,16452.95579,11295.6305,4312.944961,34833.52309,8588.661418,40031.37384,22787.59973,16807.814,66939.05584,14099.19136,6295.099054,22937.35346,35868.40773,11513.77327,8003.483862,16682.7393,60355.95551,15438.61738,23208.75527,23109.58633,8058.21334,30029.9028,584.5505434,15423.11417,47234.70002
3939,23839.65223,8565.604891,10412.67806,23585.12147,14285.29854,68219.33373,15977.33244,10717.33886,4060.224188,33744.76951,8399.306266,38611.57985,22104.16599,15799.86783,65507.38174,13178.13451,6178.125603,22334.79942,35667.35482,11513.77504,7944.903809,15922.5434,59125.98638,14717.09086,22466.57421,22181.28772,7909.802053,29359.67956,568.3161842,15003.98108,45314.28557
3940,23123.80886,8269.533781,9719.912738,22902.00087,14328.00175,65683.22877,15225.47525,10549.30412,3871.785632,33577.00981,8333.456769,37260.05255,21188.80903,15117.89911,63811.08334,12561.6281,6006.952749,22100.78626,35306.65908,11428.52825,7833.124849,15281.06787,57512.45593,14185.28484,22309.07959,21248.17156,7752.662839,28962.79461,545.4245671,14602.64418,43647.34348
3941,22570.0154,8093.6981,9288.697544,22094.60628,14148.16349,62259.25708,14735.92277,10486.58903,3722.531163,33147.35811,8435.346075,36031.44296,20464.99245,14458.05387,62748.90294,12044.36244,6131.188475,22116.77248,35270.20686,11306.63653,7924.027468,14673.88418,56616.42349,13939.43731,22041.28499,20710.40878,7750.812667,28806.98019,538.865039,14627.5936,42667.94904
3942,22270.54367,8170.502526,8988.796428,21518.1852,13902.29404,60652.70796,14496.29023,10655.45933,3671.929225,32950.07288,9342.535155,35516.37225,20066.67515,13957.47497,62572.04918,11624.62133,6554.166057,22130.41512,35571.34577,11304.91067,7978.216049,14346.13802,56604.07042,13934.942,22153.89466,20838.96659,7667.724286,28671.25747,519.2087132,14393.08385,42512.83419
3943,22479.5811,8213.168716,8838.792455,22098.38927,14393.96592,59954.17513,14920.49244,10995.05123,3722.353966,34190.92471,10793.61816,36017.44346,19806.47543,13957.3635,63801.41636,11843.38972,7427.375705,23416.04918,36533.01193,11442.48227,7985.768606,14457.31826,58254.76263,14130.31184,22651.74212,20787.53996,7912.512947,28813.6554,536.0053797,14910.01539,43478.01003
3944,22570.70542,9524.491135,8885.607805,22105.26972,15309.96296,61223.93641,16162.16368,12489.63139,3810.768564,35419.17703,11189.29123,37035.17945,19935.64179,14608.97874,64704.89146,11727.12268,7695.627858,24007.2662,37247.96107,11503.05442,8398.944752,15184.04028,59521.337,15111.27097,23834.12598,20741.9866,8412.444142,28918.99693,571.0459485,16207.77864,46243.99659
3945,23407.84397,11098.03292,9755.460576,23521.68118,15370.7656,70398.85348,17015.9069,14407.72125,3958.016493,36426.18956,11230.60264,37234.70383,20754.69454,15514.06233,69400.77381,12116.11401,7958.406622,23776.58407,37029.24538,11215.39149,8244.001958,15930.48143,61547.50426,17484.64746,23470.88724,21395.11966,9136.260511,29494.83831,648.3424764,17763.11002,54104.74731
3946,24576.35711,12897.50425,11605.35627,26099.46527,15442.20599,86198.48697,19357.45464,16105.83515,4373.336986,39767.74574,11465.18564,38647.43299,23040.38362,17239.86137,75122.26679,14211.57173,8501.85848,25523.63333,37518.66218,11444.7189,8251.642383,17580.44349,64326.99992,20301.80579,23972.27145,25106.8116,10134.03737,30178.79476,705.7631563,19559.41494,59294.59958
3947,25847.67845,13723.34617,12586.9541,28397.48376,15753.56122,91105.92834,20624.60375,16743.65846,4679.195015,41485.47553,11825.55041,40964.25373,24304.31286,18775.18455,79044.72775,15414.93151,8802.87765,26592.2179,37976.53445,11379.73962,7758.6977,18873.13664,66377.7648,21398.41833,24650.8484,27323.35346,10498.58548,30429.99456,749.9199136,20695.56054,62009.7722
3948,27136.42408,14155.69204,13260.10085,30233.71397,15949.61442,94213.46146,21472.82956,17296.17682,4626.234483,43705.21412,12620.22724,43449.84939,25284.5854,20075.82627,80262.11015,16486.48757,8943.910298,26582.21213,38805.96867,11444.49529,7920.835164,20154.21524,68003.04847,21740.36326,25740.33865,29578.57464,10855.28133,31197.24073,771.4348202,20975.00573,61143.12676
3949,26988.4652,14113.57102,12882.75175,28972.38103,16518.78812,86708.53927,20670.86209,16627.96226,4336.20825,43403.32189,11550.24331,45308.47641,25452.36502,20046.35195,78513.19815,15357.06524,8407.479463,25570.50582,38581.25557,11507.44782,7971.321649,20723.63029,67310.68398,21863.30174,26686.11312,30487.02831,10416.45897,31408.48842,745.2448144,20061.39729,58076.76844
3950,27894.02217,13957.66799,13032.41203,28551.33987,15905.86892,84786.34884,20562.26553,15340.95358,4180.995638,42078.72683,11084.1298,46421.99843,26718.62892,20313.082,81385.29321,15661.54588,8497.41327,25775.2158,37828.53084,11681.64882,8358.492063,21257.49754,67050.70079,22051.06224,25894.03672,30991.37376,10503.66771,31474.48443,707.4136092,18528.08936,61954.03515
3951,27889.50451,13920.76392,13488.16684,29534.12205,15652.48645,93977.01677,21149.23124,15319.76014,4138.853317,42522.09374,11299.64617,45806.67203,27109.81857,20309.71713,81415.20232,16179.47264,8569.127235,26385.76739,37654.01238,11651.89469,8392.858971,21153.99731,68131.36148,22131.66573,25527.66024,31388.35163,10721.89367,31304.80732,680.5208565,18515.48492,63371.3222
3952,27695.15709,13764.57775,13712.6717,29390.16073,15542.51177,95940.63254,21823.98967,15511.18627,4127.873052,43491.84019,11324.96885,45293.53535,27049.56502,19757.57984,81461.21705,16279.88873,8675.948719,26205.79578,38231.34273,11831.69563,8574.943264,21153.35333,68684.00396,21694.94804,25772.75654,31524.13155,10771.70482,31055.46359,683.2927672,18814.0444,62963.96651
3953,27387.46892,13982.26555,14045.97851,29555.89624,15717.91225,95848.56015,21740.48251,15302.47203,4192.785057,43182.78472,12008.70278,44845.85933,26718.9534,19543.20439,80333.65569,16304.50948,8807.895461,26515.50127,38468.54836,11824.01367,8508.575446,21019.71208,67804.22584,21687.37559,25920.3829,31122.8328,10766.93641,31194.38979,695.2246742,19238.25661,62693.12282
3954,27042.7071,14074.92463,13912.96454,29459.17135,16429.19558,94411.30006,22125.23307,16411.84483,4471.496788,43873.3972,12736.11605,44002.37367,26116.87641,19871.90284,77779.37227,16243.65975,8941.824841,25907.20307,39451.24786,12302.62011,8192.816197,20993.32969,67187.07171,21009.24065,26706.71437,30816.38348,10717.47409,31376.28968,722.4021989,20559.8765,60001.01819
3955,25871.87528,13766.11443,13270.15338,28559.20996,16776.74361,84498.7316,21245.34462,16706.50798,4468.219691,43201.39186,11968.40706,43387.91492,24293.16125,18953.7349,74061.5652,15558.81527,8622.788727,25238.41994,39800.61466,12480.67532,8155.009822,20464.32198,65318.08207,19965.37003,26712.71906,29556.30075,10350.09183,31474.46586,722.3532484,21070.67226,54825.48894
3956,26032.75441,13453.84849,12437.76388,28081.86458,16458.59489,84725.95845,20498.56346,16364.48756,4449.235134,42355.83418,11706.42406,42269.77528,23015.56475,18338.40477,74356.24789,15045.75759,8483.311777,24917.59509,39892.63827,12480.48804,8431.450585,19661.93083,63932.54525,19784.13242,26463.03731,28452.16443,9967.63465,31894.62415,713.7860846,20106.95304,54292.72934
3957,28537.90119,13727.60436,12515.10529,28228.02563,16038.30386,85826.9245,21562.63749,16867.88154,4667.946675,42926.60969,11855.07951,43500.11027,25082.63215,20042.62254,77970.02549,16482.6336,8638.173696,25739.99657,39679.75039,12584.26281,8352.042282,20363.05548,63935.78917,19838.12608,27020.4035,28476.06161,10092.5037,31821.52565,722.1020173,20084.18967,55657.87403
3958,28792.68477,13546.37195,13259.91385,28560.20787,16353.41121,85383.40282,21726.38014,16326.01164,4554.420344,43297.84635,11140.7643,44703.02914,26333.27819,20692.78162,78197.19423,17316.11194,8198.411819,25507.22504,39313.67262,12654.90134,8515.931736,21139.17336,62746.04132,19786.81957,26462.55979,30650.60634,9879.858745,31675.28604,800.8119626,20085.12443,56041.32432
3959,27788.67486,12554.86355,12737.37188,28901.41849,15757.73795,84538.844,21711.7462,15365.13656,4369.773142,42110.02108,10160.31364,43994.55233,26060.87971,20019.10768,75977.26466,17064.63425,7595.18608,26312.32195,38727.99506,12376.81584,8127.696037,20514.93881,62078.70448,19307.32214,25935.76396,30083.87026,9469.808108,32034.67766,791.052825,19317.12043,55649.77109
3960,26744.24751,11000.14114,11841.23929,28061.25231,15477.08107,82366.6467,20440.98364,13968.1109,4021.298154,39714.46806,9351.46156,41775.78709,24634.43889,19101.30212,72183.51457,15608.9592,7012.900464,24828.17114,37348.54484,12019.81516,8009.891611,18815.30743,59975.19992,17862.11115,24754.83499,28128.37036,9031.721202,32026.29201,720.3822338,17937.83636,53746.45446
3961,25508.39973,9360.501194,12055.46095,25075.48525,14888.2029,75013.18919,17469.07242,12122.98408,4407.245469,35997.04577,8706.033954,40606.50797,23920.05163,20446.13418,67820.17716,14142.6133,6517.174739,23668.35936,35993.75669,11819.35133,8026.688828,18015.54345,62854.08033,15508.28137,23393.88235,24173.07667,8194.319057,30577.65366,634.5624505,15783.56276,49103.13609
3962,24716.00195,9134.841293,11163.95178,24816.92121,14260.4293,71306.43037,16500.95178,11227.6465,4125.289935,35283.64015,8474.406892,40323.21744,23338.27398,17538.28473,66860.6313,14336.77248,6303.794594,22962.4034,35655.73961,11629.77565,8002.894337,16908.40806,61628.73739,14905.4492,23332.70913,22968.42618,8027.340685,30109.78471,581.4877553,15265.49218,47390.35259
3963,24112.38525,8655.668934,10368.47713,23803.18708,14310.54312,68160.22638,16019.47302,10638.30145,3854.304019,34196.23379,8286.648993,39112.45673,22681.62676,16433.86364,65572.97192,13433.38748,6195.509614,22395.89198,35458.23981,11629.77759,7945.101179,16191.40284,60555.26443,14301.92476,22614.67986,22141.00067,7879.577248,29429.58271,564.3414484,14828.26531,45539.63266
3964,23480.28889,8370.661667,9696.50472,23109.60654,14350.74472,65769.04961,15258.35972,10467.05491,3652.246254,34022.42648,8221.354952,37959.91194,21802.14633,15686.62071,64047.30728,12828.70965,6037.051014,22175.87665,35097.31115,11536.17167,7834.823724,15586.37287,59147.03289,13857.09297,22462.31037,21309.28112,7723.123982,29026.78865,540.1639191,14409.60289,43933.18624
3965,22991.2841,8201.396767,9278.232177,22289.84913,14181.44156,62540.74409,14762.78036,10403.1411,3492.204566,33604.02466,8322.384799,36912.18795,21106.69905,14963.61881,63091.97356,12321.3685,6152.058848,22190.90663,35064.92432,11402.3275,7924.505266,15013.68645,58365.0079,13651.45259,22203.23025,20829.95405,7721.281887,28868.65435,533.2359165,14435.62936,42989.3354
3966,22726.84776,8275.331098,8987.332404,21704.60188,13949.97537,61026.00278,14520.1977,10575.23916,3437.945423,33393.43661,9221.921535,36472.95001,20723.99341,14415.12732,62932.90984,11909.68075,6543.618803,22203.73321,35368.60348,11400.43241,7977.965942,14704.56125,58354.22657,13647.69246,22312.17541,20944.5422,7638.556206,28730.9109,512.4754176,14190.99594,42839.84989
3967,22911.42976,8316.402901,8841.830706,22293.69004,14412.84466,60367.38829,14949.62226,10921.322,3492.014563,34666.41578,10660.76433,36900.24957,20473.99197,14415.00518,64038.61272,12124.25174,7351.968808,23412.46525,36384.45953,11551.494,7985.417047,14809.42477,59794.89156,13811.11053,22793.8221,20898.70382,7882.276308,28875.42896,530.2156189,14730.24317,43769.99815
3968,22991.89339,9578.722682,8887.240923,22300.67585,15275.18173,61564.58782,16206.57973,12444.4694,3586.819238,35883.97933,11053.0998,37768.14644,20598.09578,15128.98936,64851.20561,12010.21546,7600.295918,23968.31778,37111.68923,11618.00573,8393.043078,15494.85792,60900.31227,14631.63867,23937.72926,20858.10049,8380.025187,28982.33888,567.2245543,16084.03023,46435.60317
3969,23731.09453,11093.46298,9730.985613,23738.77539,15332.42249,70215.19536,17070.83337,14399.22143,3744.709364,36883.29232,11094.06274,37938.29526,21385.04654,16120.70244,69074.72055,12391.74341,7843.556189,23751.43424,36876.80918,11302.13516,8240.1816,16198.88987,62668.67842,16616.86122,23586.31089,21440.26118,9100.681932,29566.7538,648.8631321,17706.5045,54011.07623
3970,24762.90253,12825.6901,11525.35786,26356.03051,15399.67783,85111.94349,19441.20791,16129.7929,4190.046733,40216.00491,11326.66698,39143.03129,23581.15025,18011.68524,74220.67806,14446.99667,8346.641917,25393.98127,37369.40534,11553.94995,8247.719393,17755.109,65094.5226,18973.28728,24071.37924,24748.62397,10094.10327,30260.89348,709.5093573,19580.35504,59012.58148
3971,25885.49112,13620.67125,12477.49365,28689.23627,15692.79358,89738.94436,20723.95691,16779.80751,4518.010346,41933.96584,11683.992,41118.75139,24795.541,19693.9609,77748.57148,15627.26821,8625.302199,26398.64693,37833.57591,11482.59894,7761.39634,18974.35753,66884.35666,19890.55428,24727.87419,26724.30642,10457.06004,30515.83332,756.1465734,20765.5475,61629.21668
3972,27023.46553,14036.86084,13130.43633,30553.58282,15877.3618,92668.89448,21582.62522,17342.88665,4461.222145,44145.19837,12471.96555,43238.39805,25737.3927,21119.09271,78843.49515,16678.26488,8755.859325,26389.23967,38684.6715,11553.70441,7921.355843,20182.65139,68302.84599,20176.57582,25781.91064,28734.46513,10812.19883,31294.50279,778.8700568,21057.0562,60794.02301
3973,26892.81646,13996.31384,12764.41312,29272.93636,16413.19277,85592.84835,20770.78473,16661.8999,4150.234555,43826.04054,11411.00717,44823.38334,25898.59636,21086.79728,77270.50942,15570.51219,8259.273117,25438.05001,38438.84805,11622.82994,7971.164153,20719.715,67698.57508,20279.40832,26696.90806,29544.20213,10375.29203,31508.89569,751.2088554,20104.00772,57838.94714
3974,27692.43171,13846.23672,12909.58144,28845.44822,15836.17895,83780.50335,20660.85124,15350.29147,3983.804105,42486.24075,10948.82544,45772.96386,27115.23027,21379.05721,79853.69518,15869.15091,8342.526885,25630.51497,37670.09683,11814.11273,8353.133782,21223.25048,67471.67107,20436.46152,25930.60712,29993.74314,10462.12008,31575.87429,711.2525226,18504.50763,61575.5024
3975,27688.44258,13810.71172,13351.65705,29843.27876,15597.63986,92445.96166,21255.04308,15328.69294,3938.61599,42940.80991,11162.52388,45248.23067,27491.08762,21375.37028,79880.59567,16377.14049,8408.914131,26204.54555,37498.81311,11781.44098,8387.039046,21125.63064,68414.83299,20503.88271,25576.15313,30347.58361,10679.39343,31403.67091,682.8490983,18491.35907,62941.35411
3976,27516.83199,13660.36205,13569.42355,29697.1131,15494.10761,94297.36469,21938.10847,15523.77797,3926.842138,43915.38067,11187.63296,44810.64201,27433.19565,20770.38552,79921.98169,16475.62994,8507.801205,26035.33919,38074.39256,11978.87283,8566.677437,21125.02324,68897.15953,20138.58803,25813.2736,30468.60907,10728.98714,31150.61478,685.7767182,18802.80721,62548.78194
3977,27245.14047,13869.9151,13892.72637,29865.38636,15659.23296,94210.55387,21853.57325,15311.07439,3996.445593,43609.23896,11865.59944,44428.8764,27115.54203,20535.49127,78907.84379,16499.77831,8629.947302,26326.51921,38315.24986,11970.4376,8501.201124,20998.97485,68129.32073,20132.25402,25956.09595,30110.91726,10724.23956,31291.6094,698.3788873,19245.33246,62287.76755
3978,26940.71257,13959.11162,13763.70473,29767.18041,16328.84865,92855.42741,22243.06048,16441.65162,4295.300937,44333.28563,12586.87681,43709.57535,26537.06287,20895.65087,76610.50043,16440.09607,8753.92877,25754.60723,39316.17573,12495.97522,8189.683408,20974.09138,67590.69073,19565.02468,26716.8389,29837.76809,10674.99315,31476.21755,727.0830804,20624.00604,59693.36317
3979,25906.85715,13661.8413,13140.18713,28853.43881,16656.03698,83509.32228,21352.33972,16741.94694,4291.786991,43666.53459,11825.64362,43185.58206,24784.82647,19889.60107,73266.67439,15768.39135,8458.589793,25125.82832,39680.96263,12691.49016,8152.384879,20475.13935,65959.50357,18691.87392,26722.64819,28714.61162,10309.2146,31575.85544,727.0313802,21156.85261,54705.66113
3980,26048.91492,13361.24439,12332.78128,28368.78432,16356.52571,83723.56404,20596.36493,16393.38918,4271.430343,42802.95253,11565.8705,42232.06376,23557.30413,19215.37501,73531.7144,15265.17744,8329.472813,24824.19406,39750.32326,12691.28452,8425.112267,19718.33621,64750.2567,18540.27682,26481.0915,27730.45571,9928.426931,32002.26936,717.9829651,20151.53009,54192.23612
3981,28260.98289,13624.77032,12407.80133,28517.18339,15960.85572,84761.61431,21673.53878,16906.40497,4505.949043,43390.80926,11713.27202,43281.25913,25543.35481,21082.7109,76781.97549,16674.48485,8472.832009,25597.40242,39537.93458,12805.23524,8346.77064,20379.62633,64753.08787,18585.44009,27020.32008,27751.75612,10052.75089,31928.08251,726.7660364,20127.78404,55507.83779
