day,hour,count
0,0,0.8418123106900783
0,1,0.8767568415772429
0,2,0.8976423241944105
0,3,0.9069707733315192
0,4,0.9040373561177392
0,5,0.8777468327336887
0,6,0.7933815210080822
0,7,0.6489485722802709
0,8,0.5924544492778723
0,9,0.5928677781259714
0,10,0.5949526363363785
0,11,0.6019084638561082
0,12,0.6152427025235684
0,13,0.6071195847616437
0,14,0.5968573318350114
0,15,0.5917764830925787
0,16,0.5797494217966995
0,17,0.5571110501402388
0,18,0.5758319165003741
0,19,0.6223220554920763
0,20,0.6657596677083748
0,21,0.7054210763775175
0,22,0.7461583908090395
0,23,0.7936354896554678
1,0,0.8418123106900783
1,1,0.8767568415772429
1,2,0.8976423241944105
1,3,0.9069707733315192
1,4,0.9040373561177392
1,5,0.8777468327336887
1,6,0.7933815210080822
1,7,0.6489485722802709
1,8,0.5924544492778723
1,9,0.5928677781259714
1,10,0.5949526363363785
1,11,0.6019084638561082
1,12,0.6152427025235684
1,13,0.6071195847616437
1,14,0.5968573318350114
1,15,0.5917764830925787
1,16,0.5797494217966995
1,17,0.5571110501402388
1,18,0.5758319165003741
1,19,0.6223220554920763
1,20,0.6657596677083748
1,21,0.7054210763775175
1,22,0.7461583908090395
1,23,0.7936354896554678
2,0,0.8418123106900783
2,1,0.8767568415772429
2,2,0.8976423241944105
2,3,0.9069707733315192
2,4,0.9040373561177392
2,5,0.8777468327336887
2,6,0.7933815210080822
2,7,0.6489485722802709
2,8,0.5924544492778723
2,9,0.5928677781259714
2,10,0.5949526363363785
2,11,0.6019084638561082
2,12,0.6152427025235684
2,13,0.6071195847616437
2,14,0.5968573318350114
2,15,0.5917764830925787
2,16,0.5797494217966995
2,17,0.5571110501402388
2,18,0.5758319165003741
2,19,0.6223220554920763
2,20,0.6657596677083748
2,21,0.7054210763775175
2,22,0.7461583908090395
2,23,0.7936354896554678
3,0,0.8418123106900783
3,1,0.8767568415772429
3,2,0.8976423241944105
3,3,0.9069707733315192
3,4,0.9040373561177392
3,5,0.8777468327336887
3,6,0.7933815210080822
3,7,0.6489485722802709
3,8,0.5924544492778723
3,9,0.5928677781259714
3,10,0.5949526363363785
3,11,0.6019084638561082
3,12,0.6152427025235684
3,13,0.6071195847616437
3,14,0.5968573318350114
3,15,0.5917764830925787
3,16,0.5797494217966995
3,17,0.5571110501402388
3,18,0.5758319165003741
3,19,0.6223220554920763
3,20,0.6657596677083748
3,21,0.7054210763775175
3,22,0.7461583908090395
3,23,0.7936354896554678
4,0,0.8418123106900783
4,1,0.8767568415772429
4,2,0.8976423241944105
4,3,0.9069707733315192
4,4,0.9040373561177392
4,5,0.8777468327336887
4,6,0.7933815210080822
4,7,0.6489485722802709
4,8,0.5924544492778723
4,9,0.5928677781259714
4,10,0.5949526363363785
4,11,0.6019084638561082
4,12,0.6152427025235684
4,13,0.6071195847616437
4,14,0.5968573318350114
4,15,0.5917764830925787
4,16,0.5797494217966995
4,17,0.5571110501402388
4,18,0.5758319165003741
4,19,0.6223220554920763
4,20,0.6657596677083748
4,21,0.7054210763775175
4,22,0.7461583908090395
4,23,0.7936354896554678
5,0,0.8105020251467728
5,1,0.8432381124190104
5,2,0.865428774626816
5,3,0.8778993591874596
5,4,0.8802849759244531
5,5,0.8686048441157214
5,6,0.8364908427367235
5,7,0.7621476946843955
5,8,0.6741780138518704
5,9,0.6108409584568785
5,10,0.5695067419957601
5,11,0.5622230317773145
5,12,0.5680964367871214
5,13,0.5613848031153186
5,14,0.5464160469014524
5,15,0.5409172718646035
5,16,0.5328726774192428
5,17,0.5323038303849508
5,18,0.5621183968741168
5,19,0.6059013419095428
5,20,0.646096423346077
5,21,0.6868366623671216
5,22,0.7274540911533119
5,23,0.7701730574926937
6,0,0.8105020251467728
6,1,0.8432381124190104
6,2,0.865428774626816
6,3,0.8778993591874596
6,4,0.8802849759244531
6,5,0.8686048441157214
6,6,0.8364908427367235
6,7,0.7621476946843955
6,8,0.6741780138518704
6,9,0.6108409584568785
6,10,0.5695067419957601
6,11,0.5622230317773145
6,12,0.5680964367871214
6,13,0.5613848031153186
6,14,0.5464160469014524
6,15,0.5409172718646035
6,16,0.5328726774192428
6,17,0.5323038303849508
6,18,0.5621183968741168
6,19,0.6059013419095428
6,20,0.646096423346077
6,21,0.6868366623671216
6,22,0.7274540911533119
6,23,0.7701730574926937
