technology,year,parameter,value,unit,source,further description,file_path
biomass boiler,2045,lifetime,20.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","204 Biomass boiler, automatic:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
biomass boiler,2045,pelletizing cost,9.0,EUR/MWh_pellets,Assumption based on doi:10.1016/j.rser.2019.109506,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,FOM,3.0,%/year,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,capture_rate,0.95,per unit,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,compression-electricity-input,0.08,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,compression-heat-output,0.13,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,electricity-input,0.02,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,heat-input,0.66,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,heat-output,1.48,MWh/tCO2,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,investment,2000000.0,EUR/(tCO2/h),"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
cement capture,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_carbon_capture_transport_storage.xlsx",401.c Post comb - Cement kiln,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central air-sourced heat pump,2045,FOM,0.23,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central air-sourced heat pump,2045,VOM,2.43,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central air-sourced heat pump,2045,efficiency,3.68,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central air-sourced heat pump,2045,investment,856.25,EUR/kW_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Specific investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central air-sourced heat pump,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Comp. hp, airsource 3 MW:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal CHP,2045,FOM,1.63,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal CHP,2045,VOM,2.75,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal CHP,2045,c_b,1.01,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Cb coefficient,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal CHP,2045,c_v,0.15,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Cv coefficient,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal CHP,2045,efficiency,0.53,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","01 Coal CHP:  Electricity efficiency, condensation mode, net",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal CHP,2045,investment,1803.02,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal CHP,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",01 Coal CHP:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,FOM,3.42,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,VOM,4.05,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,c_b,1.0,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,c_v,0.17,per unit,DEA (loss of fuel for additional heat), from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,efficiency,0.42,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,investment,530.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP,2045,p_nom_ratio,1.0,per unit,, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP CC,2045,FOM,3.42,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP CC,2045,VOM,4.05,EUR/MWh,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP CC,2045,c_b,1.0,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP CC,2045,efficiency,0.42,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP CC,2045,investment,530.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas CHP CC,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","04 Gas turb. simple cycle, L:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas boiler,2045,FOM,3.5,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas boiler,2045,VOM,1.0,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas boiler,2045,efficiency,1.04,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","44 Natural Gas DH Only:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas boiler,2045,investment,50.0,EUR/kW_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central gas boiler,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",44 Natural Gas DH Only:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal boiler,2045,FOM,2.5,%/year,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal boiler,2045,VOM,1.1,EUR/MWh_th,same as gas boiler,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal boiler,2045,efficiency,0.9,per unit,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal boiler,2045,investment,277.5,USD/kW_th,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central coal boiler,2045,lifetime,25.0,years,IRENA_Remap_2030_technology_cost,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central ground-sourced heat pump,2045,FOM,0.43,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central ground-sourced heat pump,2045,VOM,1.38,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Variable O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central ground-sourced heat pump,2045,efficiency,1.74,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central ground-sourced heat pump,2045,investment,469.53,EUR/kW_th excluding drive energy,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Nominal investment",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central ground-sourced heat pump,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","40 Absorption heat pump, DH:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central hydrogen CHP,2045,FOM,5.0,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central hydrogen CHP,2045,c_b,1.25,50oC/100oC,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Cb coefficient,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central hydrogen CHP,2045,efficiency,0.5,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","12 LT-PEMFC CHP:  Electricity efficiency, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central hydrogen CHP,2045,investment,875.0,EUR/kW,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Nominal investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central hydrogen CHP,2045,lifetime,10.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central resistive heater,2045,FOM,1.58,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central resistive heater,2045,VOM,1.0,EUR/MWh_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Variable O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central resistive heater,2045,efficiency,0.99,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","41 Electric Boilers:  Total efficiency , net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central resistive heater,2045,investment,60.0,EUR/kW_th,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Nominal investment; 10/15 kV; >10 MW,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central resistive heater,2045,lifetime,20.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx",41 Electric Boilers:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solar thermal,2045,FOM,1.4,%/year,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solar thermal,2045,investment,140000.0,EUR/1000m2,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solar thermal,2045,lifetime,20.0,years,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,FOM,2.86,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,VOM,4.65,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,c_b,0.34,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,efficiency,0.27,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,efficiency-heat,0.83,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,investment,3204.34,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP,2045,p_nom_ratio,1.0,per unit,, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,FOM,2.86,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,VOM,4.65,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,c_b,0.34,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,efficiency,0.27,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,efficiency-heat,0.83,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,investment,4570.47,EUR/kW_e,Combination of central solid biomass CHP CC and solid biomass boiler steam,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP CC,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,FOM,2.86,%/year,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Fixed O&M",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,VOM,4.65,EUR/MWh_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Variable O&M ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,c_b,0.34,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cb coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,c_v,1.0,50°C/100°C,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Cv coefficient",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,efficiency,0.27,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Electricity efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,efficiency-heat,0.83,per unit,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Heat efficiency, net, annual average",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,investment,3204.34,EUR/kW_e,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Nominal investment ",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central solid biomass CHP powerboost CC,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx","09a Wood Chips, Large 50 degree:  Technical lifetime",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central water tank storage,2045,FOM,0.62,%/year,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central water tank storage,2045,investment,0.49,EUR/kWhCapacity,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
central water tank storage,2045,lifetime,25.0,years,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx",140 PTES seasonal:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
clean water tank storage,2045,FOM,2.0,%/year,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
clean water tank storage,2045,investment,67.63,EUR/m^3-H2O,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
clean water tank storage,2045,lifetime,30.0,years,"Caldera et al 2016: Local cost of seawater RO desalination based on solar PV and windenergy: A global estimate. (https://doi.org/10.1016/j.desal.2016.02.004), Table 1.",,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
coal,2045,CO2 intensity,0.34,tCO2/MWh_th,Entwicklung der spezifischen Kohlendioxid-Emissionen des deutschen Strommix in den Jahren 1990 - 2018,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
coal,2045,FOM,1.6,%/year,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
coal,2045,VOM,3.5,EUR/MWh_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
coal,2045,efficiency,0.33,per unit,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
coal,2045,fuel,8.15,EUR/MWh_th,BP 2019,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
coal,2045,investment,3845.51,EUR/kW_e,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
coal,2045,lifetime,40.0,years,Lazard s Levelized Cost of Energy Analysis - Version 13.0,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower,2045,FOM,1.35,%/year,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower,2045,investment,90.28,"EUR/kW_th,dp",ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower,2045,lifetime,30.0,years,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power),,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower TES,2045,FOM,1.35,%/year,see solar-tower.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower TES,2045,investment,12.1,EUR/kWh_th,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower TES,2045,lifetime,30.0,years,see solar-tower.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower power block,2045,FOM,1.35,%/year,see solar-tower.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower power block,2045,investment,632.44,EUR/kW_e,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
csp-tower power block,2045,lifetime,30.0,years,see solar-tower.,,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral CHP,2045,FOM,3.0,%/year,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral CHP,2045,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral CHP,2045,investment,1400.0,EUR/kWel,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral CHP,2045,lifetime,25.0,years,HP, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral air-sourced heat pump,2045,FOM,3.1,%/year,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Fixed O&M,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral air-sourced heat pump,2045,discount rate,0.04,per unit,Palzer thesis, from old pypsa cost assumptions,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral air-sourced heat pump,2045,efficiency,3.75,per unit,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx","207.3 Air to water existing:  Heat efficiency, annual average, net, radiators, existing one family house",/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral air-sourced heat pump,2045,investment,782.5,EUR/kW_th,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Specific investment,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
decentral air-sourced heat pump,2045,lifetime,18.0,years,"Danish Energy Agency, technologydatafor_heating_installations_marts_2018.xlsx",207.3 Air to water existing:  Technical lifetime,/p/tmp/yanleizh/PyPSA-China-PIK/resources/data/costs/costs_2045.csv
