PyPSA_tech,parameter,mapper,reference,unit,comment
battery inverter,CO2 intensity,set_value,0,tCO2/MWh_th,
battery inverter,efficiency,use_pypsa,,p.u.,
battery inverter,FOM,use_pypsa,,%,
battery inverter,fuel,set_value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
battery inverter,investment,use_pypsa,,EUR/MW,
battery inverter,lifetime,use_pypsa,,years,
battery inverter,VOM,set_value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
battery storage,CO2 intensity,set_value,0,tCO2/MWh_th,
battery storage,efficiency,set_value,1,p.u.,Storage without losses
battery storage,FOM,set_value,0,%,
battery storage,fuel,set_value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
battery storage,investment,use_pypsa,btstor,EUR/MWh,
battery storage,lifetime,use_pypsa,,years,
battery storage,VOM,set_value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
biomass,CO2 intensity,set_value,0,tCO2/MWh_th,"TODO coupling with REMIND-EU difficult, as biomass has not CO2 intensity there, assuming carbon-neutral for now as well"
biomass,efficiency,weigh_remind_by_gen,"[bioigcc, bioigccc]",,
biomass,FOM,weigh_remind_by_gen,"[biochp, bioigcc, bioigccc]",,
biomass,fuel,use_remind,pebiolc,USD/MWh,
biomass,investment,weigh_remind_by_gen,"[biochp, bioigcc, bioigccc]",USD/MW,
biomass,lifetime,weigh_remind_by_gen,"[biochp, bioigcc, bioigccc]",years,
biomass,VOM,weigh_remind_by_gen,"[biochp, bioigcc, bioigccc]",USD/MWh,
CCGT,CO2 intensity,weigh_remind_by_gen,"[ngcc, gaschp]",,
CCGT,efficiency,weigh_remind_by_gen,"[ngcc, gaschp]",,
CCGT,FOM,weigh_remind_by_gen,"[ngcc, gaschp]",%,
CCGT,investment,weigh_remind_by_gen,"[ngcc, gaschp]",USD/MW,
CCGT,lifetime,weigh_remind_by_gen,"[ngcc, gaschp]",years,
CCGT,VOM,weigh_remind_by_gen,"[ngcc, gaschp]",USD/MWh,
CCGT-CCS,CO2 intensity,use_remind,ngccc,,
CCGT-CCS,efficiency,use_remind,ngccc,p.u.,
CCGT-CCS,FOM,use_remind,ngccc,%,
CCGT-CCS,investment,use_remind,ngccc,USD/MW,
CCGT-CCS,lifetime,use_remind,ngccc,,
CCGT-CCS,VOM,use_remind,ngccc,USD/MWh,
coal,CO2 intensity,weigh_remind_by_gen,"[igcc, pc, coalchp]",,
coal,efficiency,weigh_remind_by_gen,"[igcc, pc, coalchp]",,
coal,FOM,weigh_remind_by_gen,"[igcc, pc, coalchp]",%,
coal,fuel,use_remind,pecoal,USD/MWh_th,
coal,investment,weigh_remind_by_gen,"[igcc, pc, coalchp]",USD/MW,
coal,lifetime,weigh_remind_by_gen,"[igcc, pc, coalchp]",years,
coal,VOM,weigh_remind_by_gen,"[igcc, pc, coalchp]",USD/MWh,
coal ccs,CO2 intensity,use_remind,igccc,,
coal ccs,efficiency,use_remind,igccc,p.u.,
coal ccs,FOM,use_remind,igccc,%,
coal ccs,fuel,use_remind,pecoal,USD/MWh_th,
coal ccs,investment,use_remind,igccc,USD/MW,
coal ccs,lifetime,use_remind,igccc,years,
coal ccs,VOM,use_remind,igccc,USD/MWh,
electrolysis,CO2 intensity,set_value,0,tCO2/MWh_th,Process without direct emissions
electrolysis,efficiency,use_remind,elh2,p.u.,
electrolysis,FOM,use_remind,elh2,%,
electrolysis,fuel,set_value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
electrolysis,investment,use_pypsa,elh2,USD/MW,
electrolysis,lifetime,use_remind,elh2,years,
electrolysis,VOM,use_remind,elh2,,
H2 turbine,CO2 intensity,set_value,0,tCO2/MWh_th,Process without direct emissions
H2 turbine,efficiency,use_remind,h2turb,p.u.,
H2 turbine,FOM,use_remind,h2turb,%,
H2 turbine,fuel,set_value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
H2 turbine,investment,use_remind,h2turb,USD/MW,
H2 turbine,lifetime,use_remind,h2turb,years,
H2 turbine,VOM,use_remind,h2turb,USD/MWh,
gas,CO2 intensity,weigh_remind_by_gen,"[ngcc,ngt]",,TODO this is partially wrong and not correct emission factor from REMIND but PyPSA-EUR uses same emission factor for OCGT and CCGT
