technology,year,parameter,value_new
hydrogen direct iron reduction furnace,2020,electricity-input,1.03
hydrogen direct iron reduction furnace,2020,hydrogen-input,2.1
hydrogen direct iron reduction furnace,2020,investment,4277858.0
hydrogen direct iron reduction furnace,2020,lifetime,40.0
hydrogen direct iron reduction furnace,2020,ore-input,1.59
iron ore DRI-ready,2020,commodity,97.73
iron-air battery,2020,FOM,1.0219
iron-air battery,2020,investment,25.1342
iron-air battery,2020,lifetime,17.5
iron-air battery charge,2020,efficiency,0.7
iron-air battery discharge,2020,efficiency,0.59
methanation,2020,carbondioxide-input,0.198
methanation,2020,hydrogen-input,1.282
methanol,2020,CO2 intensity,0.2482
methanol-to-kerosene,2020,FOM,4.5
methanol-to-kerosene,2020,VOM,1.35
methanol-to-kerosene,2020,hydrogen-input,0.0279
methanol-to-kerosene,2020,investment,307000.0
methanol-to-kerosene,2020,lifetime,30.0
methanol-to-kerosene,2020,methanol-input,1.0764
methanol-to-olefins/aromatics,2020,FOM,3.0
methanol-to-olefins/aromatics,2020,VOM,31.7466
methanol-to-olefins/aromatics,2020,carbondioxide-output,0.6107
methanol-to-olefins/aromatics,2020,electricity-input,1.3889
methanol-to-olefins/aromatics,2020,investment,2781006.4359
methanol-to-olefins/aromatics,2020,lifetime,30.0
methanol-to-olefins/aromatics,2020,methanol-input,18.03
methanolisation,2020,carbondioxide-input,0.248
methanolisation,2020,electricity-input,0.271
methanolisation,2020,heat-output,0.1
methanolisation,2020,hydrogen-input,1.138
natural gas direct iron reduction furnace,2020,FOM,11.3
natural gas direct iron reduction furnace,2020,economic_lifetime,20.0
natural gas direct iron reduction furnace,2020,gas-input,2.78
natural gas direct iron reduction furnace,2020,investment,4277858.0
natural gas direct iron reduction furnace,2020,lifetime,40.0
natural gas direct iron reduction furnace,2020,ore-input,1.59
offwind-float,2020,FOM,1.15
offwind-float,2020,investment,2350.0
offwind-float,2020,lifetime,20.0
offwind-float-connection-submarine,2020,investment,2118.5597
offwind-float-connection-underground,2020,investment,1039.4778
offwind-float-station,2020,investment,415.7911
organic rankine cycle,2020,FOM,2.0
organic rankine cycle,2020,electricity-input,0.12
organic rankine cycle,2020,investment,1376.0
organic rankine cycle,2020,lifetime,30.0
seawater RO desalination,2020,electricity-input,0.003
shipping fuel methanol,2020,CO2 intensity,0.2482
shipping fuel methanol,2020,fuel,72.0
solar-utility single-axis tracking,2020,FOM,1.8605
solar-utility single-axis tracking,2020,investment,650.3522
solar-utility single-axis tracking,2020,lifetime,35.0
steel carbon capture retrofit,2020,FOM,5.0
steel carbon capture retrofit,2020,capture_rate,0.9
steel carbon capture retrofit,2020,electricity-input,0.16
steel carbon capture retrofit,2020,gas-input,0.76
steel carbon capture retrofit,2020,investment,3561435.753
steel carbon capture retrofit,2020,lifetime,20.0
