technology,year,parameter,value_old,value_new,delta
Ammonia cracker,2020,investment,1062107.74,1123945.3807,61837.640700000105
BioSNG,2020,VOM,2.7,2.8712,0.1711999999999998
BioSNG,2020,investment,2500.0,2658.5,158.5
BtL,2020,VOM,1.06,1.1299,0.06989999999999985
BtL,2020,investment,3500.0,3638.1722,138.17219999999998
CCGT,2020,VOM,4.4,4.6562,0.25619999999999976
CCGT,2020,investment,880.0,931.235,51.235000000000014
CH4 (g) fill compressor station,2020,investment,1498.95,1654.96,156.01
CH4 (g) pipeline,2020,investment,79.0,87.22,8.219999999999999
CH4 (g) submarine pipeline,2020,investment,114.89,119.3173,4.4273000000000025
CH4 (l) transport ship,2020,investment,151000000.0,159791465.6831,8791465.683099985
CH4 evaporation,2020,investment,87.6,91.1101,3.5101000000000084
CH4 liquefaction,2020,investment,232.13,241.443,9.313000000000017
CO2 liquefaction,2020,investment,16.03,16.7226,0.6925999999999988
CO2 pipeline,2020,investment,2000.0,2116.4433,116.44329999999991
CO2 storage tank,2020,investment,2528.17,2584.3462,56.17619999999988
CO2 submarine pipeline,2020,investment,4000.0,4232.8865,232.88649999999961
FT fuel transport ship,2020,investment,31700578.34,35000000.0,3299421.66
Fischer-Tropsch,2020,VOM,5.3,5.636,0.3360000000000003
Fischer-Tropsch,2020,investment,757401.0,819108.478,61707.478
General liquid hydrocarbon storage (crude),2020,investment,135.83,137.8999,2.06989999999999
General liquid hydrocarbon storage (product),2020,investment,169.79,172.3748,2.5848000000000013
H2 (g) fill compressor station,2020,investment,4478.0,4738.7164,260.71640000000025
H2 (g) pipeline,2020,investment,226.47,303.6845,77.21450000000002
H2 (g) pipeline repurposed,2020,investment,105.88,129.4682,23.5882
H2 (g) submarine pipeline,2020,investment,329.37,456.1165,126.74649999999997
H2 (l) storage tank,2020,investment,750.08,793.7456,43.66559999999993
H2 (l) transport ship,2020,investment,361223561.6,393737000.0,32513438.399999976
H2 evaporation,2020,investment,143.64,146.8405,3.2005000000000052
H2 liquefaction,2020,investment,870.56,889.9426,19.382600000000025
H2 pipeline,2020,investment,267.0,282.5452,15.545200000000023
HVAC overhead,2020,investment,182.97,442.1414,259.17139999999995
HVDC inverter pair,2020,investment,162364.82,165803.0398,3438.2197999999917
HVDC overhead,2020,investment,182.97,442.1414,259.17139999999995
HVDC submarine,2020,investment,471.16,1008.2934,537.1333999999999
Haber-Bosch,2020,investment,1586.29,1785.0713,198.7813000000001
LNG storage tank,2020,investment,611.59,666.634,55.04399999999998
LOHC chemical,2020,investment,2264.33,2500.0,235.67000000000007
LOHC dehydrogenation,2020,investment,50728.03,53681.4988,2953.4688000000024
LOHC dehydrogenation (small scale),2020,investment,759908.15,839000.0,79091.84999999998
LOHC hydrogenation,2020,investment,51259.54,54243.958,2984.417999999998
LOHC loaded DBT storage,2020,investment,149.27,151.5383,2.268299999999982
LOHC transport ship,2020,investment,31700578.34,35000000.0,3299421.66
LOHC unloaded DBT storage,2020,investment,132.26,134.2745,2.014499999999998
MeOH transport ship,2020,investment,31700578.34,35000000.0,3299421.66
Methanol steam reforming,2020,investment,16318.43,18016.8665,1698.4364999999998
NH3 (l) storage tank incl. liquefaction,2020,investment,161.93,166.8201,4.89009999999999
NH3 (l) transport ship,2020,investment,74461941.34,81164200.0,6702258.659999996
OCGT,2020,VOM,4.5,4.762,0.26199999999999957
OCGT,2020,investment,453.96,480.3903,26.430300000000045
PHS,2020,investment,2208.16,2274.8177,66.6577000000002
SMR,2020,investment,493470.4,522201.0492,28730.649199999985
SMR CC,2020,investment,572425.66,605753.2171,33327.557099999976
Steam methane reforming,2020,investment,470085.47,497454.611,27369.141000000003
air separation unit,2020,investment,891679.11,1003392.2397,111713.12970000005
battery inverter,2020,investment,270.0,287.118,17.117999999999995
battery storage,2020,investment,232.0,246.7088,14.708799999999997
biogas,2020,CO2 stored,0.09,0.1447,0.0547
biogas,2020,FOM,11.38,7.7769,3.6031000000000004
biogas,2020,fuel,59.0,62.4351,3.4350999999999985
biogas,2020,investment,1710.69,1032.4577,678.2323000000001
biogas CC,2020,CO2 stored,0.09,0.1447,0.0547
biogas CC,2020,FOM,11.38,7.7769,3.6031000000000004
biogas CC,2020,investment,1710.69,1032.4577,678.2323000000001
biogas plus hydrogen,2020,investment,907.2,964.7165,57.51649999999995
biogas upgrading,2020,FOM,2.51,17.0397,14.5297
biogas upgrading,2020,VOM,3.69,4.1613,0.47129999999999983
biogas upgrading,2020,investment,423.0,192.9697,230.0303
biogas upgrading,2020,lifetime,15.0,20.0,5.0
biomass,2020,fuel,7.0,7.4076,0.4076000000000004
biomass,2020,investment,2209.0,2337.6116,128.61160000000018
