technology,year,parameter,value_old,value_new,delta
biomass CHP,2020,VOM,2.11,2.2291,0.11909999999999998
biomass CHP,2020,investment,3381.27,3578.1349,196.86490000000003
biomass EOP,2020,VOM,2.11,2.2291,0.11909999999999998
biomass EOP,2020,investment,3381.27,3578.1349,196.86490000000003
biomass HOP,2020,VOM,2.11,2.2361,0.1261000000000001
biomass HOP,2020,investment,875.42,926.3933,50.973299999999995
biomass boiler,2020,investment,682.67,722.4205,39.75049999999999
central air-sourced heat pump,2020,VOM,2.19,2.3175,0.12749999999999995
central air-sourced heat pump,2020,efficiency,3.4,3.1,0.2999999999999998
central air-sourced heat pump,2020,investment,951.39,1006.7765,55.38650000000007
central coal CHP,2020,VOM,2.9,3.0688,0.16880000000000006
central coal CHP,2020,efficiency,0.4383116883116882,0.485,0.04668831168831178
central coal CHP,2020,investment,1900.0,2010.6211,110.62110000000007
central gas CHP,2020,VOM,4.4,4.6562,0.25619999999999976
central gas CHP,2020,investment,590.0,624.3508,34.35080000000005
central gas CHP CC,2020,VOM,4.4,4.6562,0.25619999999999976
central gas CHP CC,2020,efficiency,0.59,0.4,0.18999999999999995
central gas CHP CC,2020,investment,880.0,624.3508,255.64919999999995
central gas boiler,2020,VOM,1.1,1.164,0.06399999999999983
central gas boiler,2020,investment,60.0,63.4933,3.493299999999998
central ground-sourced heat pump,2020,VOM,0.98,1.0392,0.05919999999999992
central ground-sourced heat pump,2020,investment,564.0,596.837,32.83699999999999
central hydrogen CHP,2020,investment,1300.0,1375.6881,75.68810000000008
central resistive heater,2020,VOM,0.9,0.9524,0.0524
central resistive heater,2020,investment,70.0,74.0755,4.075500000000005
central solar thermal,2020,investment,140000.0,148151.0278,8151.027800000011
central solid biomass CHP,2020,VOM,4.6,4.8694,0.2694000000000001
central solid biomass CHP,2020,investment,3534.65,3740.4387,205.78870000000006
central solid biomass CHP CC,2020,VOM,4.6,4.8694,0.2694000000000001
central solid biomass CHP CC,2020,investment,5449.8,5767.0987,317.29869999999937
central solid biomass CHP powerboost CC,2020,VOM,4.6,4.8694,0.2694000000000001
central solid biomass CHP powerboost CC,2020,investment,3534.65,3740.4387,205.78870000000006
central water tank storage,2020,FOM,0.52,1.0,0.48
central water tank storage,2020,investment,0.58,3.0361,2.4560999999999997
central water tank storage,2020,lifetime,20.0,40.0,20.0
clean water tank storage,2020,investment,67.63,69.1286,1.4986000000000104
coal,2020,FOM,1.6,1.31,0.29000000000000004
coal,2020,VOM,3.5,3.2612,0.2387999999999999
coal,2020,efficiency,0.4391891891891891,0.356,0.0831891891891891
coal,2020,fuel,8.15,9.5542,1.4041999999999994
coal,2020,investment,3845.51,3827.1629,18.34710000000041
csp-tower,2020,investment,144.88,159.96,15.080000000000013
csp-tower TES,2020,investment,19.41,21.43,2.0199999999999996
csp-tower power block,2020,investment,1014.93,1120.57,105.63999999999999
decentral CHP,2020,investment,1400.0,1481.5103,81.51029999999992
decentral air-sourced heat pump,2020,investment,940.0,994.7283,54.72829999999999
decentral gas boiler,2020,investment,312.08,330.2494,18.169399999999996
decentral gas boiler connection,2020,investment,195.05,206.4059,11.355899999999991
decentral ground-sourced heat pump,2020,investment,1500.0,1587.3324,87.3324
decentral oil boiler,2020,investment,156.01,165.0975,9.087500000000006
decentral resistive heater,2020,investment,100.0,105.8222,5.822199999999995
decentral solar thermal,2020,investment,270000.0,285719.8393,15719.839299999992
decentral water tank storage,2020,investment,18.38,419.8622,401.4822
decentral water tank storage,2020,lifetime,20.0,30.0,10.0
digestible biomass,2020,fuel,15.0,17.0611,2.0610999999999997
digestible biomass to hydrogen,2020,investment,4000.0,4237.1194,237.1193999999996
direct air capture,2020,electricity-input,0.35,0.4,0.050000000000000044
direct air capture,2020,heat-input,2.5,1.6,0.8999999999999999
direct firing gas,2020,investment,15.0,15.105,0.10500000000000043
direct firing gas CC,2020,investment,15.0,15.105,0.10500000000000043
direct firing solid fuels,2020,investment,220.0,221.54,1.539999999999992
direct firing solid fuels CC,2020,investment,220.0,221.54,1.539999999999992
electric boiler steam,2020,VOM,0.86,0.8711,0.011099999999999999
electric boiler steam,2020,investment,80.0,80.56,0.5600000000000023
electricity distribution grid,2020,investment,500.0,529.1108,29.11080000000004
electricity grid connection,2020,investment,140.0,148.151,8.15100000000001
electrobiofuels,2020,VOM,4.66,5.153,0.49299999999999944
electrobiofuels,2020,investment,517844.13,559887.2932,42043.16319999995
electrolysis,2020,FOM,2.0,4.0,2.0
electrolysis,2020,efficiency,0.66,0.5773,0.0827
electrolysis,2020,efficiency-heat,0.18,0.2762,0.09620000000000001
electrolysis,2020,investment,650.0,2000.0,1350.0
fuel cell,2020,investment,1300.0,1375.6881,75.68810000000008
gas,2020,fuel,20.1,24.568,4.468
gas boiler steam,2020,investment,54.55,54.9273,0.3773000000000053
gas storage,2020,FOM,3.59,0.5368,3.0532
gas storage,2020,investment,0.03,0.2366,0.2066
gas storage charger,2020,investment,14.34,15.2479,0.9078999999999997
gas storage discharger,2020,investment,4.78,5.0826,0.3026
geothermal,2020,CO2 intensity,0.03,0.12,0.09
geothermal,2020,FOM,2.36,2.0,0.3599999999999999
geothermal,2020,lifetime,40.0,30.0,10.0
helmeth,2020,investment,2000.0,2116.4433,116.44329999999991
home battery inverter,2020,investment,377.0,400.9018,23.90179999999998
home battery storage,2020,investment,323.53,344.0435,20.513500000000022
hydro,2020,investment,2208.16,2274.8177,66.6577000000002
hydrogen storage compressor,2020,investment,79.42,87.69,8.269999999999996
hydrogen storage tank type 1,2020,investment,12.23,13.5,1.2699999999999996
hydrogen storage tank type 1 including compressor,2020,investment,57.0,60.6138,3.6137999999999977
hydrogen storage underground,2020,investment,3.0,3.1902,0.19019999999999992
industrial heat pump high temperature,2020,VOM,3.26,3.2828,0.022800000000000153
industrial heat pump high temperature,2020,investment,1045.44,1052.7581,7.3180999999999585
industrial heat pump medium temperature,2020,VOM,3.26,3.2828,0.022800000000000153
industrial heat pump medium temperature,2020,investment,871.2,877.2984,6.09839999999997
lignite,2020,FOM,1.6,1.31,0.29000000000000004
lignite,2020,VOM,3.5,3.2612,0.2387999999999999
lignite,2020,fuel,2.9,3.2985,0.3985000000000003
lignite,2020,investment,3845.51,3827.1629,18.34710000000041
methanation,2020,investment,718.95,777.5294,58.579399999999964
methane storage tank incl. compressor,2020,investment,8629.2,8961.5075,332.307499999999
methanolisation,2020,investment,757401.0,819108.478,61707.478
micro CHP,2020,investment,10045.31,10630.1681,584.8581000000013
nuclear,2020,FOM,1.4,1.27,0.1299999999999999
nuclear,2020,VOM,3.5,3.5464,0.04640000000000022
nuclear,2020,fuel,2.6,3.4122,0.8121999999999998
nuclear,2020,investment,2340.0,8594.1354,6254.135399999999
offwind,2020,investment,1380.0,1992.6105,612.6105
offwind-ac-connection-submarine,2020,investment,2685.0,2841.3251,156.32510000000002
offwind-ac-connection-underground,2020,investment,1342.0,1420.1334,78.13339999999994
offwind-ac-station,2020,investment,250.0,264.5554,14.55540000000002
offwind-dc-connection-submarine,2020,investment,2000.0,2116.4433,116.44329999999991
offwind-dc-connection-underground,2020,investment,1000.0,1058.2216,58.22160000000008
offwind-dc-station,2020,investment,400.0,423.2887,23.288700000000006
oil,2020,VOM,6.0,6.3493,0.3493000000000004
oil,2020,fuel,50.0,52.9111,2.9110999999999976
oil,2020,investment,343.0,362.97,19.970000000000027
onwind,2020,VOM,1.5,1.5873,0.08729999999999993
onwind,2020,investment,672.0,1183.9119,511.91190000000006
ror,2020,investment,3312.24,3412.2266,99.98660000000018
seawater desalination,2020,investment,40219.78,42561.4413,2341.6612999999998
solar,2020,investment,733.47,809.8118,76.34179999999992
solar-rooftop,2020,investment,957.47,1057.1237,99.65370000000007
solar-rooftop commercial,2020,investment,790.08,872.3118,82.23179999999991
solar-rooftop residential,2020,investment,1124.86,1241.9355,117.07550000000015
solar-utility,2020,investment,324.0,562.5,238.5
solid biomass,2020,fuel,12.0,13.6489,1.6488999999999994
solid biomass boiler steam,2020,VOM,2.78,2.7985,0.018500000000000405
solid biomass boiler steam,2020,investment,618.18,622.5091,4.3291000000000395
solid biomass boiler steam CC,2020,VOM,2.78,2.7985,0.018500000000000405
solid biomass boiler steam CC,2020,investment,618.18,622.5091,4.3291000000000395
solid biomass to hydrogen,2020,investment,4000.0,4237.1194,237.1193999999996
uranium,2020,fuel,2.6,3.4122,0.8121999999999998
waste CHP,2020,VOM,27.28,28.8648,1.5847999999999978
waste CHP,2020,investment,8577.7,9077.1074,499.40740000000005
waste CHP CC,2020,VOM,27.28,28.8648,1.5847999999999978
waste CHP CC,2020,investment,8577.7,9077.1074,499.40740000000005
water tank charger,2020,efficiency,0.84,0.9,0.06000000000000005
water tank discharger,2020,efficiency,0.84,0.9,0.06000000000000005
