"Subnational unit (province, state)",1995,2000,2005,2010,2015,2020
Anhui,0,170,0,245,1350,230
Chongqing,0,0,0,370,610,504
Fujian,0,0,300,500,1790,60
Gansu,0,0,250,2880,3030,1750
Guangdong,50,0,563,2793,3430,1030
Guangxi,0,0,0,150,420,1190
Guizhou,0,0,0,350,750,300
Hainan,0,0,300,0,0,0
Hebei,0,1156,0,5660,4050,6560
Heilongjiang,200,2000,1380,6200,3475,2961
Henan,0,60,1120,5750,2720,3070
Hubei,100,770,0,2930,2040,1135
Hunan,0,0,0,100,0,0
InnerMongolia,0,500,4620,11740,9310,10332
Jiangsu,275,410,2602,2037,840,2340
Jiangxi,0,0,0,100,40,125
Jilin,350,1075,1046,7500,3580,1080
Liaoning,50,4800,1445,13455,4890,4610
Ningxia,0,0,150,900,660,2320
Qinghai,0,0,0,870,1010,1010
Shaanxi,0,0,1010,3070,2100,4400
Shandong,124,490,3755,4344,18786,9361
Shanghai,50,350,100,2600,100,0
Shanxi,0,130,1240,4840,4990,4670
Sichuan,0,0,0,0,165,0
Tianjin,0,0,0,860,700,0
Xinjiang,0,150,270,2790,15805,8375
Zhejiang,0,184.8,694,622,710,318
