Province,1995,2000,2005,2010,2015,2020
Anhui,340.871573,227.2477153,227.2477153,170.4357865,113.6238577,56.81192883
Beijing,122.2224199,81.48161324,81.48161324,61.11120993,40.74080662,20.37040331
Chongqing,179.1739357,119.4492905,119.4492905,89.58696787,59.72464524,29.86232262
Fujian,232.3286839,154.8857893,154.8857893,116.1643419,77.44289463,38.72144731
Gansu,139.6428835,93.09525569,93.09525569,69.82144177,46.54762784,23.27381392
Guangdong,704.8587612,469.9058408,469.9058408,352.4293806,234.9529204,117.4764602
Guangxi,280.234959,186.823306,186.823306,140.1174795,93.411653,46.7058265
Guizhou,215.4107336,143.6071557,143.6071557,107.7053668,71.80357786,35.90178893
Hainan,56.50483732,37.66989155,37.66989155,28.25241866,18.83494577,9.417472887
Hebei,416.7510926,277.8340618,277.8340618,208.3755463,138.9170309,69.45851544
Heilongjiang,177.0522126,118.0348084,118.0348084,88.52610629,59.0174042,29.5087021
Henan,555.0539405,370.0359603,370.0359603,277.5269703,185.0179802,92.50899008
Hubei,320.7710379,213.8473586,213.8473586,160.385519,106.9236793,53.46183966
Hunan,371.0223755,247.3482503,247.3482503,185.5111877,123.6741252,61.83706258
InnerMongolia,134.1710712,89.44738082,89.44738082,67.08553561,44.72369041,22.3618452
Jiangsu,473.3117648,315.5411765,315.5411765,236.6558824,157.7705883,78.88529413
Jiangxi,252.3175493,168.2116995,168.2116995,126.1587746,84.10584975,42.05292488
Jilin,133.9477319,89.29848796,89.29848796,66.97386597,44.64924398,22.32462199
Liaoning,237.5771569,158.3847713,158.3847713,118.7885785,79.19238564,39.59619282
Ningxia,40.25690485,26.83793657,26.83793657,20.12845242,13.41896828,6.709484142
Qinghai,33.11004796,22.0733653,22.0733653,16.55502398,11.03668265,5.518341326
Shaanxi,220.8267111,147.2178074,147.2178074,110.4133555,73.60890369,36.80445184
Shandong,567.5609401,378.37396,378.37396,283.78047,189.18698,94.59349001
Shanghai,138.9170309,92.61135392,92.61135392,69.45851544,46.30567696,23.15283848
Shanxi,194.86352,129.9090133,129.9090133,97.43176,64.95450667,32.47725333
Sichuan,467.3932739,311.5955159,311.5955159,233.696637,155.797758,77.89887899
Tianjin,77.44289463,51.62859642,51.62859642,38.72144731,25.81429821,12.9071491
Tibet,20.43554393,13.62369595,13.62369595,10.21777197,6.811847977,3.405923989
Xinjiang,144.6121825,96.40812165,96.40812165,72.30609123,48.20406082,24.10203041
Yunnan,263.6520176,175.7680117,175.7680117,131.8260088,87.88400587,43.94200294
Zhejiang,361.1396124,240.7597416,240.7597416,180.5698062,120.3798708,60.18993541
