Province,1995,2000,2005,2010,2015,2020
Anhui,531.9662427,354.6441618,354.6441618,265.9831213,177.3220809,88.66104044
Beijing,190.7410492,127.1606994,127.1606994,95.37052458,63.58034972,31.79017486
Chongqing,279.61993,186.4132867,186.4132867,139.809965,93.20664333,46.60332167
Fujian,362.5735521,241.7157014,241.7157014,181.2867761,120.8578507,60.42892535
Gansu,217.9275304,145.2850202,145.2850202,108.9637652,72.64251012,36.32125506
Guangdong,1100.006855,733.3379031,733.3379031,550.0034273,366.6689515,183.3344758
Guangxi,437.3363754,291.5575836,291.5575836,218.6681877,145.7787918,72.8893959
Guizhou,336.1712963,224.1141976,224.1141976,168.0856482,112.0570988,56.02854939
Hainan,88.18179157,58.78786105,58.78786105,44.09089579,29.39393052,14.69696526
Hebei,650.3842809,433.5895206,433.5895206,325.1921405,216.7947603,108.3973802
Heilongjiang,276.308756,184.2058373,184.2058373,138.154378,92.10291867,46.05145934
Henan,866.2205435,577.4803623,577.4803623,433.1102718,288.7401812,144.3700906
Hubei,500.5972259,333.7314839,333.7314839,250.2986129,166.865742,83.43287098
Hunan,579.0197678,386.0131785,386.0131785,289.5098839,193.0065893,96.50329463
InnerMongolia,209.3881869,139.5921246,139.5921246,104.6940935,69.7960623,34.89803115
Jiangsu,738.6532087,492.4354724,492.4354724,369.3266043,246.2177362,123.1088681
Jiangxi,393.7682966,262.5121977,262.5121977,196.8841483,131.2560989,65.62804943
Jilin,209.0396423,139.3597615,139.3597615,104.5198211,69.67988076,34.83994038
Liaoning,370.7643509,247.176234,247.176234,185.3821755,123.588117,61.79405849
Ningxia,62.82516969,41.88344646,41.88344646,31.41258484,20.94172323,10.47086161
Qinghai,51.67174151,34.44782767,34.44782767,25.83587075,17.22391384,8.611956918
Shaanxi,344.6235036,229.7490024,229.7490024,172.3117518,114.8745012,57.43725061
Shandong,885.7390428,590.4926952,590.4926952,442.8695214,295.2463476,147.6231738
Shanghai,216.7947603,144.5298402,144.5298402,108.3973802,72.2649201,36.13246005
Shanxi,304.1051903,202.7367935,202.7367935,152.0525952,101.3683968,50.68419839
Sichuan,729.416776,486.2778506,486.2778506,364.708388,243.1389253,121.5694627
Tianjin,120.8578507,80.57190047,80.57190047,60.42892535,40.28595024,20.14297512
Tibet,31.89183371,21.26122247,21.26122247,15.94591686,10.63061124,5.315305619
Xinjiang,225.6826484,150.4550989,150.4550989,112.8413242,75.22754947,37.61377473
Yunnan,411.4569366,274.3046244,274.3046244,205.7284683,137.1523122,68.5761561
Zhejiang,563.5966679,375.7311119,375.7311119,281.7983339,187.865556,93.93277798
