Anhui,Henan,0
Anhui,Hubei,0
Anhui,Jiangxi,0
Anhui,Zhejiang,9500
Anhui,Jiangsu,10000
Anhui,Xinjiang,12000
Beijing,Hebei,25000
Beijing,Tianjin,3950
Beijing,Shanxi,3950
Beijing,InnerMongolia,9000
Beijing,Shandong,9000
Chongqing,Sichuan,6000
Chongqing,Shaanxi,0
Chongqing,Hubei,10000
Fujian,Jiangxi,0
Fujian,Zhejiang,4500
Gansu,Hunan,8000
Gansu,Shaanxi,7000
Gansu,Qinghai,4300
Gansu,Xinjiang,3000
Gansu,Ningxia,7000
Guangdong,Hebei,3000
Guangdong,Guangxi,41690
Guangdong,Jiangxi,0
Guangdong,Hainan,1200
Guangdong,Guizhou,17500
Guangdong,Yunnan,31400
Guangxi,Yunnan,13120
Guizhou,Guangxi,0
Guizhou,Yunnan,0
Hebei,Tianjin,25000
Hebei,InnerMongolia,3950
Hebei,Shandong,6000
Hebei,Henan,0
Hebei,Shanxi,25000
Hebei,Liaoning,3000
Heilongjiang,InnerMongolia,0
Heilongjiang,Jilin,3200
Henan,Shandong,0
Henan,Shanxi,5000
Henan,Hubei,10000
Henan,Shaanxi,7500
Henan,Qinghai,8000
Henan,Xinjiang,8000
Hubei,Shanghai,6000
Hubei,Jiangsu,3000
Hubei,Hunan,2600
Hubei,Jiangxi,3000
Hubei,Shaanxi,8000
Hubei,Chongqing,10000
Hunan,Jiangxi,0
Hunan,Gansu,8000
InnerMongolia,Shaanxi,0
InnerMongolia,Shanxi,3950
InnerMongolia,Shandong,20000
Jiangsu,Shandong,0
Jiangsu,Shanxi,8000
Jiangsu,InnerMongolia,8000
Jiangsu,Shanghai,10000
Jiangsu,Zhejiang,0
Jiangsu,Sichuan,15200
Jiangxi,Zhejiang,0
Jiangxi,Sichuan,8000
Jilin,InnerMongolia,0
Jilin,Liaoning,5000
Liaoning,InnerMongolia,8000
Ningxia,Shandong,4000
Ningxia,Shaanxi,0
Ningxia,Zhejiang,8000
Qinghai,Tibet,600
Shaanxi,Shanxi,4000
Shaanxi,Sichuan,3000
Shaanxi,Gansu,7000
Shanghai,Zhejiang,9500
Shanghai,Sichuan,6400
Sichuan,Tibet,1000
Sichuan,Zhejiang,16000
