Anhui,Jiangsu,10000
Anhui,Xinjiang,12000
Anhui,Zhejiang,9500
Beijing,Hebei,25000
Beijing,InnerMongolia,9000
Beijing,Shandong,9000
Beijing,Shanxi,3950
Beijing,Tianjin,3950
Chongqing,Hubei,10000
Chongqing,Sichuan,6000
Fujian,Zhejiang,4500
Gansu,Hunan,8000
Gansu,Ningxia,7000
Gansu,Qinghai,4300
Gansu,Shaanxi,7000
Gansu,Xinjiang,3000
Guangdong,Guangxi,41690
Guangdong,Guizhou,17500
Guangdong,Hainan,1200
Guangdong,Hebei,3000
Guangdong,Yunnan,31400
Guangxi,Yunnan,13120
Hebei,InnerMongolia,3950
Hebei,Liaoning,3000
Hebei,Shandong,6000
Hebei,Shanxi,25000
Hebei,Tianjin,25000
Heilongjiang,Jilin,3200
Henan,Hubei,10000
Henan,Qinghai,8000
Henan,Shaanxi,7500
Henan,Shanxi,5000
Henan,Xinjiang,8000
Hubei,Hunan,2600
Hubei,Jiangsu,3000
Hubei,Jiangxi,3000
Hubei,Shaanxi,8000
Hubei,Shanghai,6000
InnerMongolia,Shandong,20000
InnerMongolia,Shanxi,3950
Jiangsu,InnerMongolia,8000
Jiangsu,Shanghai,10000
Jiangsu,Shanxi,8000
Jiangsu,Sichuan,15200
Jiangxi,Sichuan,8000
Jilin,Liaoning,5000
Liaoning,InnerMongolia,8000
Ningxia,Shandong,4000
Ningxia,Zhejiang,8000
Qinghai,Tibet,600
Shaanxi,Shanxi,4000
Shaanxi,Sichuan,3000
Shanghai,Sichuan,6400
Shanghai,Zhejiang,9500
Sichuan,Tibet,1000
Sichuan,Zhejiang,16000
