Province,hydro_capacity
Anhui,4740
Beijing,990
Chongqing,7790
Fujian,13310
Gansu,9570
Guangdong,16660
Guangxi,16960
Guizhou,11425
Hainan,1510
Hebei,1820
Heilongjiang,1090
Henan,4080
Hubei,10495
Hunan,14610
InnerMongolia,2420
Jiangsu,2650
Jiangxi,6600
Jilin,510
Liaoning,3050
Ningxia,430
Qinghai,3013
Shaanxi,3920
Shandong,1080
Shanghai,0
Shanxi,2230
Sichuan,11735
Tianjin,10
Tibet,2100
Xinjiang,8000
Yunnan,50870
Zhejiang,11710
