"Subnational unit (province, state)",1995,2000,2005,2010,2015,2020
Fujian,0,0,0,3900,0,0
Guangdong,0,0,1675,3300,504,0
Hainan,66,0,590,0,0,920
Henan,0,0,0,1560,0,0
InnerMongolia,0,0,0,300,0,0
Jiangsu,0,51,1170,390,950,800
Shanghai,0,0,720,1200,2000,848.4
Shanxi,0,0,0,0,0,144
Sichuan,0,0,0,0,700,0
Tianjin,0,54,0,0,0,0
Tibet,0,0,0,0,180,0
Zhejiang,0,686,1468,2557,0,0
