bus0,end_bus
Sanxia,Gezhouba
Longyangxia,Laxiwa
Laxiwa,Lijiaxia
Lijiaxia,Gongboxia
Gongboxia,Jishixia
Luding,Pubugou
Pubugou,Shenxigou
Shenxigou,Gongzui
Gongzui,Tongjiezi
Xiluodu,Xiangjiaba
Jinping1,Jinping2
Jinping2,Guandi
Guandi,Ertan
Ahai,Jinanqiao
Jinanqiao,Longkaikou
Longkaikou,Ludila
Gongguoqiao,Xiaowan
Xiaowan,Manwan
Nuozhadu,Jinghong
Lubuge,Tianshengqiao2
