Dam_names,Lat,Lon,River,Province,Basin_level,installed_capacity_10MW,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Water_consumption_factor_avg
Gongguoqiao,25.5502,99.3445,lancang,Yunnan,4,90,,,,,,,,,,37.32,6.89,260,,,,37.9,7.21,273.36,32.56,7.03,228.83,7.12
Silin,27.805635,108.226355,wu,Guizhou,5,105,13.03,6.07,79.05,25.06,6.35,159.22,23.52,6.04,142.19,39.03,5.95,232.3,27.96,5.74,160.39,37.5,5.85,219.4,41.64,5.89,245.26,5.87
Wujiangdu,27.3203,106.7578,wu,Guizhou,5,128,36.16,3.51,126.94,25.66,3.56,91.42,19.04,3.89,74.1,38.01,3.35,127.49,23.84,3.59,85.54,37.42,3.45,129.23,42.77,3.4,145.49,3.425
Luding,29.782689,102.222322,dadu,Sichuan,5,92,,,,,,,,,,37.03,6.21,229.96,37.31,5.98,223.29,36.03,5.93,213.46,37.81,6.01,227.35,5.97
Ruilijiang1,23.896246,97.707152,ruilijiang,Yunnan,5,60,29.97,1.2,36.04,30.5,1.3,39.78,34.32,1.3,44.53,36.21,1.3,47.05,,,,34.43,1.29,44.56,35.02,1.3,45.45,1.295
Dongjing,25.530093,105.763008,beipan,Guizhou,5,88,,,,25.85,3.37,87.2,17.29,3.38,58.49,28.84,3.34,96.26,15.85,3.35,53.04,33.56,3.24,108.62,34.57,3.36,116.19,3.3
Jishixia,35.844365,102.690985,huang,Qinghai,4,102,,,,,,,27.57,7.15,197.35,32.91,7.15,235.29,35.54,6.38,226.76,32.14,6.31,202.86,29.58,6.23,184.27,6.27
Changzhou,23.428333,111.215,xunjiang,Guangxi,4,63,,,,26.53,17.11,488.2,28.09,34.1,956.58,28.02,35.76,1002.03,31.87,36.18,1153.64,31.06,38.3,1183.05,33.03,38.66,1276.89,38.48
Shuibuya,30.441763,110.335462,qingjiang,Hubei,6,184,,,,,,,,,,33.93,2.3,77.92,21.21,2.4,50.8,30.92,2.21,68.25,32.13,2.25,72.26,2.23
Tongjiezi,29.2603,103.6353,dadu,Sichuan,5,67.5,,,,,,,30.88,11.92,368.09,,,,32.35,10.75,375.59,30.38,11.71,355.64,30.91,11.43,353.36,11.57
Guangzhao,25.959444,105.250833,beipan,Guizhou,5,104,20.42,3.02,61.64,19.13,2.68,51.3,12.88,3.03,39,22.75,2.79,63.39,13.13,2.9,38.1,29.22,2.62,76.46,26.34,2.77,72.84,2.695
Dongfeng,26.8571,106.1546,wujiang,Guizhou,5,69.5,27.69,3.7,102.4,16.32,3.73,60.93,14.9,3.68,54.83,24.48,3.4,83.15,19.24,3.44,66.17,27.81,3.27,91.07,28.23,3.33,94.01,3.3
Sanbanxi,26.605235,109.050119,ruanshui,Guizhou,5,100,20.76,3.39,70.29,,,,,,,17.76,2.86,50.77,24.43,2.94,71.81,26.42,2.93,77.4,35.07,2.85,99.98,2.89
Lubuge,24.865424,104.580882,huangni,Yunnan,6,60,16.9,1.29,21.75,23.58,1.3,30.58,11.36,1.24,14.32,21.8,1.3,28.34,20.73,1.28,26.44,25.75,1.32,33.94,27.91,1.32,36.74,1.32
Shenxigou,29.302112,102.931858,dadu,Sichuan,5,66,,,,,,,25.37,12.03,305.2,,,,28.69,13.09,347.8,25.15,12.38,311.26,26.15,12.04,315.1,12.21
Baihetan,26.907087,102.901453,Jinsha,Sichuan,,1600,,,,,,,,,,,,,,,,,1.872074883,,641,1.872074883,1200,1.872074883
Wudongde,26.326686,102.632634,Jinsha,Sichuan,,1020,,,,,,,,,,,,,,,,,3.3290521449,,389.3,3.3290521449,1296,3.3290521449
