Region,MW
Beijing,800
Tianjin,0
Hebei,1870
Shanxi,1200
InnerMongolia,1200
Liaoning,1200
Jilin,1350
Heilongjiang,300
Shanghai,0
Jiangsu,2600
Zhejiang,5630
Anhui,3480
Fujian,1500
Jiangxi,1200
Shandong,1600
Henan,1320
Hubei,1270
Hunan,1200
Guangdong,7980
Guangxi,0
Hainan,600
Chongqing,0
Sichuan,0
Guizhou,0
Yunnan,0
Tibet,90
Shaanxi,0
Gansu,0
Qinghai,0
Ningxia,0
Xinjiang,0
