Province,2000,2005,2010,2015
Anhui,277.7139262,277.7139262,277.7139262,277.7139262
Beijing,146.0266117,146.0266117,146.0266117,146.0266117
Chongqing,0.181118461,0.181118461,0.181118461,0.181118461
Fujian,0.181076065,0.181076065,0.181076065,0.181076065
Gansu,890.6578121,890.6578121,890.6578121,890.6578121
Guangdong,0.181078688,0.181078688,0.181078688,0.181078688
Guangxi,0.180994526,0.180994526,0.180994526,0.180994526
Guizhou,0.967980313,0.967980313,0.967980313,0.967980313
Hainan,0.182589907,0.182589907,0.182589907,0.182589907
Hebei,2109.088268,2109.088268,2109.088268,2109.088268
Heilongjiang,667.0285729,667.0285729,667.0285729,667.0285729
Henan,1542.409636,1542.409636,1542.409636,1542.409636
Hubei,29.44930334,29.44930334,29.44930334,29.44930334
Hunan,0.181114309,0.181114309,0.181114309,0.181114309
InnerMongolia,1168.106369,1168.106369,1168.106369,1168.106369
Jiangsu,0.187531591,0.187531591,0.187531591,0.187531591
Jiangxi,0.180964207,0.180964207,0.180964207,0.180964207
Jilin,466.1124213,466.1124213,466.1124213,466.1124213
Liaoning,961.1894193,961.1894193,961.1894193,961.1894193
Ningxia,332.410251,332.410251,332.410251,332.410251
Qinghai,71.60823712,71.60823712,71.60823712,71.60823712
Shaanxi,812.5480333,812.5480333,812.5480333,812.5480333
Shandong,4355.760145,4355.760145,4355.760145,4355.760145
Shanghai,0.181077565,0.181077565,0.181077565,0.181077565
Shanxi,1897.603435,1897.603435,1897.603435,1897.603435
Sichuan,0.373872549,0.373872549,0.373872549,0.373872549
Tianjin,257.6387003,257.6387003,257.6387003,257.6387003
Tibet,0.682786354,0.682786354,0.682786354,0.682786354
Xinjiang,315.7709023,315.7709023,315.7709023,315.7709023
Yunnan,0.181032897,0.181032897,0.181032897,0.181032897
Zhejiang,0.181080404,0.181080404,0.181080404,0.181080404
