Province,2000,2005,2010,2015
Anhui,2103.127545,2103.127545,2103.127545,2103.127545
Beijing,5201.078906,5201.078906,5201.078906,5201.078906
Chongqing,0.416868534,0.416868534,0.416868534,0.416868534
Fujian,585.7158072,585.7158072,585.7158072,585.7158072
Gansu,6136.821472,6136.821472,6136.821472,6136.821472
Guangdong,1985.943752,1985.943752,1985.943752,1985.943752
Guangxi,4302.119601,4302.119601,4302.119601,4302.119601
Guizhou,780.0984911,780.0984911,780.0984911,780.0984911
Hainan,1303.983662,1303.983662,1303.983662,1303.983662
Hebei,5594.376963,5594.376963,5594.376963,5594.376963
Heilongjiang,13120.20971,13120.20971,13120.20971,13120.20971
Henan,5105.75652,5105.75652,5105.75652,5105.75652
Hubei,893.4249002,893.4249002,893.4249002,893.4249002
Hunan,653.9212517,653.9212517,653.9212517,653.9212517
InnerMongolia,2546.884858,2546.884858,2546.884858,2546.884858
Jiangsu,1208.440122,1208.440122,1208.440122,1208.440122
Jiangxi,5846.475015,5846.475015,5846.475015,5846.475015
Jilin,8837.461107,8837.461107,8837.461107,8837.461107
Liaoning,23396.04588,23396.04588,23396.04588,23396.04588
Ningxia,967.8918857,967.8918857,967.8918857,967.8918857
Qinghai,10677.29884,10677.29884,10677.29884,10677.29884
Shaanxi,1853.367759,1853.367759,1853.367759,1853.367759
Shandong,5654.041069,5654.041069,5654.041069,5654.041069
Shanghai,113.7267053,113.7267053,113.7267053,113.7267053
Shanxi,3170.508102,3170.508102,3170.508102,3170.508102
Sichuan,8854.250315,8854.250315,8854.250315,8854.250315
Tianjin,412.9009887,412.9009887,412.9009887,412.9009887
Tibet,909.9821621,909.9821621,909.9821621,909.9821621
Xinjiang,6611.479067,6611.479067,6611.479067,6611.479067
Yunnan,5205.339789,5205.339789,5205.339789,5205.339789
Zhejiang,614.2058791,614.2058791,614.2058791,614.2058791
